Manuscript N°	Page N°	Title	Type	Description	General description	IIIF 
	202v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0209/full/full/0/default.jpg
	207r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0213/full/full/0/default.jpg
	212r		headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0218/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0218/full/full/0/default.jpg
	215v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0222/full/full/0/default.jpg
	218r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0224/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0224/full/full/0/default.jpg
	220r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0226/full/full/0/default.jpg
	222v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0229/full/full/0/default.jpg
	225r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0231/full/full/0/default.jpg
	228r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0234/full/full/0/default.jpg
	231r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0237/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0237/full/full/0/default.jpg
	234v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0051/DEPOT/MAF_MS0051_0241/full/full/0/default.jpg
MAF Ms. 053	004r		headpiece	geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0009/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0009/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0009/full/full/0/default.jpg
				bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0009/full/full/0/default.jpg
	007r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0012/full/full/0/default.jpg
	009v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0015/full/full/0/default.jpg
	012v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0018/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0018/full/full/0/default.jpg
	013r		headpiece	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0018/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0018/full/full/0/default.jpg
	014v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0020/full/full/0/default.jpg
	016r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0021/full/full/0/default.jpg
	018r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0023/full/full/0/default.jpg
	020r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0025/full/full/0/default.jpg
	022r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0027/full/full/0/default.jpg
	024r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0029/full/full/0/default.jpg
	025v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0031/full/full/0/default.jpg
	027v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0033/full/full/0/default.jpg
	029v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0035/full/full/0/default.jpg
	031r		marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0036/full/full/0/default.jpg
				bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0036/full/full/0/default.jpg
	031v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0037/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0037/full/full/0/default.jpg
				bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0037/full/full/0/default.jpg
	032r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0037/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0037/full/full/0/default.jpg
	032v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0038/full/full/0/default.jpg
				bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0038/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0038/full/full/0/default.jpg
	033v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0039/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0039/full/full/0/default.jpg
	034r		marginal miniature	temple	building	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0039/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0039/full/full/0/default.jpg
	036v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0042/full/full/0/default.jpg
	038r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0043/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0043/full/full/0/default.jpg
	040r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0045/full/full/0/default.jpg
	041v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0047/full/full/0/default.jpg
	043v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0049/full/full/0/default.jpg
	046r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0051/full/full/0/default.jpg
	047v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0053/full/full/0/default.jpg
	050r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0055/full/full/0/default.jpg
	052r	Jonah in the Belly of the Whale	marginal miniature	Jonah	human	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0057/full/full/0/default.jpg
				whale	mammal	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0057/full/full/0/default.jpg
				gourd	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0057/full/full/0/default.jpg
				plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0057/full/full/0/default.jpg
	054v		headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0060/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0060/full/full/0/default.jpg
	056r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0061/full/full/0/default.jpg
	060r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0065/full/full/0/default.jpg
	062v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0068/full/full/0/default.jpg
	066r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0071/full/full/0/default.jpg
	068r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0073/full/full/0/default.jpg
	070v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0076/full/full/0/default.jpg
	073v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0079/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0079/full/full/0/default.jpg
	075r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0080/full/full/0/default.jpg
	077r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0082/full/full/0/default.jpg
	081r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0086/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0086/full/full/0/default.jpg
	082v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0088/full/full/0/default.jpg
	085r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0090/full/full/0/default.jpg
	087v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0093/full/full/0/default.jpg
	091v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0097/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0097/full/full/0/default.jpg
	093r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0098/full/full/0/default.jpg
	095v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0101/full/full/0/default.jpg
	099r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0104/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0104/full/full/0/default.jpg
	100v		headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0106/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0106/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0106/full/full/0/default.jpg
	102r		marginal ornament	palm	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0107/full/full/0/default.jpg
	104v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0110/full/full/0/default.jpg
				palm	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0110/full/full/0/default.jpg
	106r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0111/full/full/0/default.jpg
	108r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0113/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0113/full/full/0/default.jpg
	109v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0115/full/full/0/default.jpg
	111r		marginal ornament	pitcher	object	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0116/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0116/full/full/0/default.jpg
	113v		marginal ornament	stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0119/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0119/full/full/0/default.jpg
	116v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0122/full/full/0/default.jpg
	121v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0127/full/full/0/default.jpg
	123v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0129/full/full/0/default.jpg
	125r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0130/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0130/full/full/0/default.jpg
	127r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0132/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0132/full/full/0/default.jpg
	131v	Head of John the Baptist	marginal miniature	John the Baptist	human	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0137/full/full/0/default.jpg
				head	body part	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0137/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0137/full/full/0/default.jpg
	132v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0138/full/full/0/default.jpg
	134r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0139/full/full/0/default.jpg
	138r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0143/full/full/0/default.jpg
	138v		marginal miniature	chapel	building	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0144/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0144/full/full/0/default.jpg
				pillars	object	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0144/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0144/full/full/0/default.jpg
	144r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0149/full/full/0/default.jpg
	148r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0153/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0153/full/full/0/default.jpg
	153r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0158/full/full/0/default.jpg
	156r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0161/full/full/0/default.jpg
	159v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0165/full/full/0/default.jpg
	163r		marginal ornament	stylized palm	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0168/full/full/0/default.jpg
	165v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0171/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0171/full/full/0/default.jpg
	170v		headpiece	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0176/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0176/full/full/0/default.jpg
			marginal miniature	dove of the Holy Spirit	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0176/full/full/0/default.jpg
	172v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0178/full/full/0/default.jpg
	174v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0180/full/full/0/default.jpg
				geometrical motif	shape	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0180/full/full/0/default.jpg
	176r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0181/full/full/0/default.jpg
	177v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0183/full/full/0/default.jpg
	179r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0184/full/full/0/default.jpg
	180v		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0186/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0186/full/full/0/default.jpg
	182v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0188/full/full/0/default.jpg
	187r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0192/full/full/0/default.jpg
	188v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0194/full/full/0/default.jpg
	191r		marginal ornament	bird	bird	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0196/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0196/full/full/0/default.jpg
	195r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0200/full/full/0/default.jpg
	201r		marginal miniature	temple	building	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0206/full/full/0/default.jpg
				cross	cross	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0206/full/full/0/default.jpg
				pillars	object	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0206/full/full/0/default.jpg
				stylized plant	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0206/full/full/0/default.jpg
	203r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0208/full/full/0/default.jpg
	205v		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0211/full/full/0/default.jpg
	207r		marginal ornament	floral motif	plant	https://iiif.irht.cnrs.fr/iiif/France/Paris/Musee_Armenien_de_France/MAF_MS0053/DEPOT/MAF_MS0053_0212/full/full/0/default.jpg
