ID	Cat. Number	Location	Country	Town	Permalink	Digital Library	Support	Date	Pages	Size	Title	Note	Genre	IIIF Manifest
MAF124	124	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md64th83pz8m	ARCA	Paper	1700-1799		13.6 x 9.3 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fvyuiud3k1yr/manifest.json
MAF125	125	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md90dv142x2q	ARCA	Paper	1700-1799		17 x 9 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fv4ywh9cwinh/manifest.json
MAF126	126	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md03cz30sp89	ARCA	Paper	1700-1799		17 x 9 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fxruw2qi5pkg/manifest.json
MAF127	127	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md38w9507x88	ARCA	Paper	1600-1799		19 x 8.5 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fzr9b8w1tarc/manifest.json
MAF128	128	Musée Arménien de France - IRHT	France	Paris	https://arca.irht.cnrs.fr/ark:/63955/md51vd66zz2k	ARCA	Paper	1700-1799		15.1 x 9.3 cm	Amulette	Frag.		https://api.irht.cnrs.fr/ark:/63955/fod0pn5xuf21/manifest.json
ERC HSM 1	HSM 1	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/1/HSM-#-1	Institute of Archaeology and Ethnography NAS RA	Parchment	800-1099	215 pages	26,7 x 23,5 cm	Gospel - Ավետարան	Ms.	Bible	
ERC HSM 2	HSM 2	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/2/HSM-#-2	Institute of Archaeology and Ethnography NAS RA	Paper	1341	31 pages	23,5 x 17,9 cm	Gospel Chalapap - Ավետարան	Ms.	Bible	
ERC HSM 3	HSM 3	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/3/HSM-#-3	Institute of Archaeology and Ethnography NAS RA	Paper	1353	402 pages	17,5 x 13 cm	Gospel Hokhan - Ավետարան	Ms.	Bible	
ERC HSM 4	HSM 4	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/4/HSM-#-4	Institute of Archaeology and Ethnography NAS RA	Paper	1501	15 pages	18,5 x 13 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 5	HSM 5	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/5/HSM-#-5	Institute of Archaeology and Ethnography NAS RA	Paper	1546		12,2 x 6 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 6	HSM 6	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/6/HSM-#-6	Institute of Archaeology and Ethnography NAS RA	Paper	1559	75 pages	24,5 x 17,7 cm	Red Gospel - Ավետարան	Inc.	Bible	
ERC HSM 7	HSM 7	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/7/HSM-#-7	Institute of Archaeology and Ethnography NAS RA	Paper	1500-1599	4 pages	15,8 x 12 cm	Gospel of Matthew	Inc.	Bible	
ERC HSM 8	HSM 8	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/8/HSM-#-8	Institute of Archaeology and Ethnography NAS RA	Paper	1500-1599	31 pages	22,5 x 17,3 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 9	HSM 9	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/9/HSM-#-9	Institute of Archaeology and Ethnography NAS RA	Paper	1604	39 pages	25,5 x 17,5 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 10	HSM 10	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/10/HSM-#-10	Institute of Archaeology and Ethnography NAS RA	Paper	1606	36 pages	23,5 x 17 cm	Old, or Dad Gospel - Ավետարան	Inc.	Bible	
ERC HSM 11	HSM 11	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/11/HSM-#-11	Institute of Archaeology and Ethnography NAS RA	Paper	1639	44 pages	17 x 13 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 12	HSM 12	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/12/HSM-#-12	Institute of Archaeology and Ethnography NAS RA	Paper	1646	5 pages	19 x 13 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 13	HSM 13	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/13/HSM-#-13	Institute of Archaeology and Ethnography NAS RA	Paper	1667	22 pages	21,5 x 16,7 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 14	HSM 14	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/14/HSM-#-14	Institute of Archaeology and Ethnography NAS RA	Paper	1672	57 pages	22,2 x 17,6 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 15	HSM 15	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/15/HSM-#-15	Institute of Archaeology and Ethnography NAS RA	Paper	1689		2,47 m	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 16	HSM 16	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/16/HSM-#-16	Institute of Archaeology and Ethnography NAS RA	Paper	1600-1699	85 pages	23,1 x 17,5 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 17	HSM 17	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/17/HSM-#-17	Institute of Archaeology and Ethnography NAS RA	Paper	1600-1699	52 pages	23,5 x 17,9 cm	Gospel - Ավետարան	Inc.	Bible	
ERC HSM 18	HSM 18	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/18/HSM-#-18	Institute of Archaeology and Ethnography NAS RA	Paper	1702		385 x 4,5 cm	Magic scroll - հմայիլ	Ms.	Magic	
ERC HSM 19	HSM 19	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/19/HSM-#-19	Institute of Archaeology and Ethnography NAS RA	Paper	1708	26 pages	10,5 x 5,5 cm	Urbatagirk (The Book of Friday) - Ուրբաթագիրք	Inc.	Magic	
ERC HSM 20	HSM 20	Private collection	Armenia	Yerevan	https://iae-archive.am/eng/scripture/38/20/HSM-#-20	Institute of Archaeology and Ethnography NAS RA	Paper	1708	7 pages		Magic Scroll of Ter Huskanordi - հմայիլ	Ms.	Magic	
